hotttness,key,mode,fade_out,fade_in,danceability,duration,energy,loudness,tempo,time_signature,year,artist_hotttness,analysis_sample_rate
,0.0,0.0,0.9549129462147419,0.0016827542900211723,0.0,189.57016,0.0,-11.642,101.43,1.224,0,0.6055071356905752,22050
0.0,1.77,0.0,0.9462321710710535,0.009713172973189906,0.0,218.77506,0.0,-10.021,146.765,0.0,0,0.29626895431146333,22050
0.26586104921065007,2.868,0.652,0.9598681068060908,0.019642847083178042,0.0,269.81832,0.0,-13.496,86.643,1.948,1984,0.33227574659906806,22050
0.6045007385888197,0.184,0.371,0.9479639140238681,0.0003148763623650612,0.0,209.60608,0.0,-4.501,129.738,2.248,2007,0.40172368550367865,22050
,3.175,0.557,0.9498233859688968,0.008457152420000716,0.0,267.7024,0.0,-9.323,147.782,1.362,0,0.385470550555821,22050
0.6021199899057548,0.736,0.0,1.000000959202864,0.0011282052734324238,0.0,218.93179,0.0,-11.197,92.198,3.112,0,0.4019975433642836,22050
,0.0,0.0,1.0000035720013984,0.0008363710591567865,0.0,114.78159,0.0,-17.302,111.787,0.0,0,0.2619411773808474,22050
,0.371,0.0,0.9825475040417232,0.0003153197184285006,0.0,266.39628,0.0,-6.697,114.041,3.512,0,0.42270564102939107,22050
,5.144,0.565,0.9708609855131521,0.0015889520725851337,0.0,177.47546,0.0,-9.689,100.07,0.0,0,0.34342837829688244,22050
,0.0,0.749,0.9302511704723702,0.0,0.0,233.40363,0.0,-9.013,119.293,0.0,1982,0.4542311565706205,22050
,1.014,0.0,0.931634893423508,0.0009997604627972243,0.0,148.03546,0.0,-9.843,121.274,1.536,1969,0.4174996449709784,22050
,2.849,0.462,0.9125562620257065,0.0,0.0,557.26975,0.0,-12.26,123.993,1.208,0,0.30660364129709755,22050
,1.566,0.704,0.9832504728161098,0.007188739909630943,0.0,295.60118,0.0,-9.435,137.288,1.884,0,0.34240639110484233,22050
0.5430528641992896,1.764,0.0,0.9739271631638775,0.0,0.0,190.24934,0.0,-4.172,75.031,4.0,2005,0.3734642277637134,22050
,3.408,0.743,0.9529510660954283,0.0008427249237091945,0.0,175.62077,0.0,-10.647,159.968,1.66,0,0.2721901520589511,22050
,6.34,0.0,0.9646262949280477,0.004174035668880901,0.0,120.2673,0.0,-3.422,143.231,0.0,0,0.2473405842381235,22050
,3.311,0.505,0.973246069590717,0.010463873711155465,0.0,255.16363,0.0,-10.756,150.837,1.864,1981,0.46155845195981815,22050
0.0,1.116,0.467,1.000000277745892,0.0005912019703452298,0.0,252.02893,0.0,-8.639,168.323,1.936,0,0.29547099049043,22050
0.0,0.0,0.325,0.953550521322949,0.001433258963118247,0.0,180.00934,0.0,-13.668,133.009,2.728,0,0.31213122149558203,22050
0.0,8.81,0.901,0.9528125820188809,0.0014798148549175544,0.0,350.71955,0.0,-13.038,152.013,4.0,2010,0.2979492662186256,22050
0.5708506420788445,0.288,0.287,0.9621426210511095,0.0,0.0,329.35138,0.0,-7.672,111.079,2.396,2009,0.3895355761888646,22050
0.3509795063714294,7.4910000000000005,0.541,0.9617260699352501,0.0,0.0,187.53261,0.0,-23.527,97.981,0.0,2000,0.3323898702808034,22050
0.3347065490692206,0.328,0.516,0.9511319259955615,0.0009755154374224345,0.0,228.5971,0.0,-16.11,127.756,2.8949999999999996,0,0.33080635685585685,22050
0.0,0.077,0.568,0.9498881795770329,0.0009777044754241306,0.0,165.69424,0.0,-6.787,138.331,0.508,0,0.0,22050
0.0,0.0,0.0,0.9821791079895046,0.0019807883339490284,0.0,191.84281,0.0,-7.75,137.334,0.319,0,0.25193652476242323,22050
,0.799,0.716,0.9627898283917468,0.01861713722298694,0.0,151.84934,0.0,-15.221,86.186,2.787,0,0.29153972708877773,22050
,0.36,0.346,0.9879022982334226,0.0019908267442892186,0.0,599.24853,0.0,-8.032,99.273,0.632,0,0.30667609347902947,22050
0.4051157216913865,7.0,0.829,0.9896285428488651,0.0,0.0,491.12771,0.0,-8.576,119.826,3.024,1987,0.4479354804795022,22050
0.26586104921065007,0.49000000000000005,0.686,0.9276909215076746,0.0014558891286189548,0.0,245.21098,0.0,-7.545,117.975,3.34,0,0.35155586118563925,22050
0.6841361912294903,5.075,0.756,0.9838327689943229,0.0004994861837298955,0.0,290.29832,0.0,-5.271,150.062,3.724,2004,0.5134632897021558,22050
0.0,1.845,0.305,0.9788046922081972,0.0,0.0,226.35057,0.0,-6.632,130.04,0.0,0,0.3794821702804675,22050
,1.572,0.533,0.9651105593553827,0.0019910053405790312,0.0,307.3824,0.0,-8.346,125.197,0.633,1986,0.5530719914619753,22050
0.0,8.899000000000001,0.521,0.9405285622322272,0.0009330281033046905,0.0,220.78649,0.0,-8.514,110.382,0.192,0,0.3285530150180186,22050
0.0,0.0,0.0,0.9824149839952693,0.004713268795429782,0.0,179.06893,0.0,-17.522,161.054,2.68,0,0.4772251904432169,22050
,1.968,0.326,0.9999990059355588,0.012604737114688198,0.0,100.5971,0.0,-10.777,159.895,1.49,0,0.36674393175597547,22050
0.0,7.218,0.463,0.9452391132686188,0.0,0.0,320.60036,0.0,-9.993,128.219,3.436,0,0.31724842518014,22050
,1.96,0.469,0.9414178117649707,0.0007244786567180976,0.0,284.3424,0.0,-6.546,151.953,0.792,2008,0.8195882822285578,22050
,0.572,0.382,0.9259494827163214,0.00271885608945565,0.0,234.65751,0.0,-12.75,119.67,2.744,1984,0.6066301517291853,22050
0.0,7.4030000000000005,0.0,0.9348099255701003,0.0,0.0,143.98649,0.0,-7.901,193.978,0.0,2007,0.48213108105290364,22050
,3.9829999999999997,0.623,0.9381371308025216,0.0030166663570961017,0.0,151.82322,0.0,-20.964,0.0,0.0,0,0.3463575222425513,22050
0.6153722556990726,0.978,0.348,0.9309778975378481,0.020644714879847394,0.0,109.37424,0.0,-18.349,61.883,0.56,1987,0.39945172400502926,22050
,5.193,0.4,0.9758094576397495,0.009139310326187698,0.0,287.11138,0.0,-11.877,163.167,0.0,0,0.3175048563569101,22050
,0.0,0.395,0.9647829845876783,0.020065805583472224,0.0,163.76118,0.0,-10.328,105.181,0.0,0,0.3676398705552997,22050
0.0,6.327,0.653,0.9436090693618219,0.0019995847403262543,0.0,159.03302,0.0,-9.668,165.668,2.7840000000000003,0,0.3794369722404727,22050
,0.695,0.61,0.9649381030483555,0.0,0.0,214.04689,0.0,-5.444,188.056,3.0,0,0.28369917555463986,22050
0.1938578025491923,0.27,0.0,0.9437031226216109,0.02474722639595254,0.0,239.98649,0.0,-5.627,144.836,1.326,2002,0.3784984931062794,22050
0.6586239272874229,1.096,0.602,0.9850985446913021,0.0,0.0,229.642,0.0,-1.998,108.499,3.14,2005,0.6055071356905752,22050
,1.7069999999999999,0.591,0.965728613528757,0.0,0.0,301.06077,0.0,-4.144,143.97,1.824,2007,0.59362436552686,22050
0.7613032180894456,1.2,0.657,0.9578161886948572,0.006511866035402181,0.0,316.49914,0.0,-14.544,95.981,0.744,1999,0.42093775483735935,22050
,5.31,0.67,0.9343527851833395,0.0,0.0,256.39138,0.0,-8.632,122.174,1.208,0,0.26279850496139084,22050
,0.0,0.601,0.9708228244293273,0.0021611429653424987,0.0,240.61342,0.0,-14.367,64.401,0.0,0,0.2912710299960676,22050
,1.088,0.0,0.9431909154482755,0.003021595864028373,0.0,214.12526,0.0,-7.225,105.196,0.569,0,0.35889349318498354,22050
,1.6869999999999998,0.362,0.9818715135074497,0.0013608156480414452,0.0,313.7824,0.0,-11.488,107.197,3.0,1989,0.41423624772199374,22050
0.6362872244273321,2.1479999999999997,0.0,0.9999984986247404,0.0,0.0,266.4224,0.0,-5.947,80.149,4.0,2000,0.40378423495862525,22050
,0.0,0.0,0.9999979808178487,0.0,0.0,252.57751,0.0,-7.605,75.955,4.33,0,0.431839300933593,22050
,4.014,0.0,1.0000018464262477,0.015423311493125398,0.0,265.37751,0.0,-9.28,124.177,2.724,0,0.0,22050
,4.234999999999999,0.677,0.9349956168716413,0.0,0.0,167.20934,0.0,-7.928,196.034,3.472,1989,0.36290298564883927,22050
,0.651,0.531,0.9897892968586215,0.00018798351042315258,0.0,356.41424,0.0,-7.598,130.861,0.528,0,0.3597572438501757,22050
,0.14,0.0,0.9907230815860375,0.0006147140333028243,0.0,260.28363,0.0,-2.939,90.008,2.704,2007,0.3807564155734675,22050
0.42512465831305757,5.752,0.565,0.976018025972888,0.000378449972208415,0.0,224.60036,0.0,-13.256,210.871,4.0,1989,0.44673296759009207,22050
,0.618,0.476,0.9541721510873108,0.004996749861801603,0.0,111.0722,0.0,-13.826,82.422,1.508,0,0.3056626196216217,22050
,2.634,0.916,0.9779864880291839,0.010146375115259669,0.0,485.19791,0.0,-7.614,134.083,2.648,2007,0.7503115032482077,22050
,6.167,0.724,0.9553589390001557,0.002729075857905937,0.0,148.03546,0.0,-6.893,162.385,0.0,0,0.2958898118327957,22050
0.6068163271702843,2.912,0.433,0.9317167967445613,0.0005194996202746387,0.0,173.24363,0.0,-6.021,88.835,3.416,0,0.37425994009152513,22050
0.5452302938983613,1.233,0.399,0.937707766722489,0.016401075422581842,0.0,191.81669,0.0,-38.525,90.084,0.342,1986,0.491828704353138,22050
,3.03,0.598,0.9645429178610404,0.000782361472337351,0.0,239.01995,0.0,-10.274,106.398,3.0,0,0.2928015391228553,22050
0.0,0.44999999999999996,0.344,0.999996827232498,0.0,0.0,100.85832,0.0,-19.794,152.258,1.948,0,0.37486261636349727,22050
0.6217655825179751,0.306,0.369,0.9570942134745157,0.000732578256295202,0.0,181.55057,0.0,-9.334,120.097,0.776,0,0.4977114441406651,22050
0.0,3.479,0.494,0.9617128934555232,0.0,0.0,151.53587,0.0,-7.108,101.492,4.0,0,0.3513450770925733,22050
0.0,0.852,0.45,0.9290325082721962,0.0011364979643523608,0.0,155.74159,0.0,-13.135,105.24,0.0,0,0.38958978111331777,22050
,2.919,0.0,0.9179732778057101,0.0,0.0,70.26893,0.0,-16.942,128.173,0.756,2004,0.5603808051579506,22050
,0.0,0.0,0.9756630751273544,0.0003805676184745989,0.0,160.28689,0.0,-15.578,86.141,3.08,0,0.38811277380636255,22050
0.21425344896156936,0.486,0.0,0.9999921767634228,0.0,0.0,38.3473,0.0,-16.006,107.177,3.8150000000000004,2000,0.26627528554651025,22050
,4.39,0.383,0.9599790804630928,0.0003708891915853076,0.0,288.49587,0.0,-5.912,160.022,2.157,2007,0.5582983481283147,22050
0.4471357962861778,1.592,0.732,0.9670709312483905,0.0006036999699165585,0.0,177.24036,0.0,-1.843,106.698,0.792,2009,0.4671335192037262,22050
0.7841946159560662,1.208,0.402,0.9999979022759408,0.0009803649175087138,0.0,233.58649,0.0,-3.937,89.78,0.0,2001,0.5742747305168561,22050
,2.649,0.735,0.9804463512294511,0.0008421894659860347,0.0,195.91791,0.0,-11.98,91.487,0.0,1990,0.38666909170602387,22050
0.19878534876524423,1.766,0.728,0.9559664992747678,0.0025940525471651477,0.0,249.41669,0.0,-6.693,167.92,3.0,0,0.13924739387110993,22050
0.3827232807891977,5.0,0.886,0.9413418179056938,0.0004584900141390077,0.0,194.11546,0.0,-15.581,82.343,0.387,2002,0.34328188178708335,22050
0.6244254932707666,2.255,0.0,0.930528016203758,0.0,0.0,229.61587,0.0,-4.882,105.206,4.0,2004,1.0059419659547393,22050
0.6651722407621973,1.646,0.69,0.9579314010040112,0.0,0.0,283.76771,0.0,-8.7,113.677,4.0,1990,0.39854753538058046,22050
0.0,0.0,0.501,0.9910190214024751,0.001654713434069658,0.0,233.27302,0.0,-2.658,132.022,3.128,2001,0.3224851056611973,22050
,3.474,0.632,0.9526458256740051,0.0016777867048078628,0.0,136.48934,0.0,-9.091,129.122,0.0,1963,0.3891007762801808,22050
,9.317,0.646,0.9696292417802407,0.0,0.0,134.81751,0.0,-8.133,106.049,0.0,0,0.3135693426838017,22050
,0.46799999999999997,0.0,0.9759655512733978,0.014442766036660263,0.0,269.26975,0.0,-11.751,144.603,0.0,0,0.47940767557514763,22050
0.6355366486226686,0.0,0.0,0.9367695542914176,0.0006699577207485508,0.0,426.89261,0.0,-12.951,63.017,1.512,2000,0.5984585009824434,22050
,1.266,0.605,1.0000016505308933,0.010178273841781209,0.0,272.63955,0.0,-9.97,119.896,4.605,0,0.36438492446826576,22050
0.30416950343527516,0.0,0.656,0.9340113474289574,0.00046430929421940247,0.0,206.75873,0.0,-4.907,141.936,2.536,0,0.40418220665370436,22050
,0.62,0.0,0.9494760845799061,0.0015270519708321865,0.0,142.75873,0.0,-11.335,137.29,0.0,0,0.4810242392118726,22050
,1.9460000000000002,0.0,0.958284565206347,0.008123737919287539,0.0,123.21914,0.0,-12.69,126.523,0.0,0,0.3475988886835368,22050
,0.0,0.0,0.941407973979602,0.0,0.0,72.61995,0.0,-11.051,89.867,1.904,0,0.45339118607533013,22050
0.7251212835673101,0.16,0.665,0.9679682762672764,0.0003917931335028862,0.0,288.41751,0.0,-8.165,115.606,0.0,2005,0.5524133455169445,22050
0.24906579485370342,0.842,0.721,0.9539627331554348,0.0005714430367956978,0.0,187.24526,0.0,-4.42,183.92,0.063,2005,0.3356518391847009,22050
,0.0,0.0,0.9999979718465256,0.0,0.0,118.33424,0.0,-11.215,84.69,3.39,1999,0.5380702951237828,22050
0.5546547674656118,1.138,0.601,0.9204232382380312,0.0007605284084522285,0.0,239.3073,0.0,-5.758,86.938,0.888,0,0.4214151025424071,22050
0.6266128026956008,3.773,0.0,0.9758110844461846,0.00465849523603906,0.0,654.28853,0.0,-5.884,118.433,3.208,2009,0.5742747305168561,22050
0.4944895175021134,1.652,0.936,0.9029181214354198,0.0025342529470921966,0.0,127.05914,0.0,-12.772,148.357,0.388,0,0.3794369722404727,22050
0.6593046691644056,2.972,0.0,0.9676421123507121,0.009956495690589729,0.0,428.56444,0.0,-8.403,105.994,3.0,2006,0.6079718095629023,22050
0.0,0.0,0.578,0.9880361929623844,0.0,0.0,289.64526,0.0,-9.435,188.502,0.0,0,0.38976551809145177,22050
,0.17500000000000002,0.0,0.9870990443675316,0.0,0.0,205.58322,0.0,-6.998,181.115,2.804,1991,0.41339391128749997,22050
,4.113,0.398,0.9685140667098947,0.014086447478116337,0.0,229.51138,0.0,-4.198,187.807,1.524,0,0.24634071356237247,22050
,2.592,0.0,0.9572394109649162,0.010140653364209587,0.0,203.83302,0.0,-7.661,126.941,4.0,2009,0.4269442562357665,22050
0.0,0.0,0.353,0.9346609613887252,0.002236632972722863,0.0,143.0722,0.0,-15.351,99.408,4.0,0,0.3701947010583135,22050
0.0,6.470000000000001,0.54,0.9267776176029073,0.0,0.0,254.79791,0.0,-7.309,107.529,3.0,1998,0.3605835821516753,22050
0.5194485814940588,0.036000000000000004,0.0,0.9617262319404861,0.0005544934478423914,0.0,140.66893,0.0,-28.347,89.495,2.456,1986,0.4765593789777819,22050
0.30416950343527516,0.0,0.0,0.9999896292361751,0.0,0.0,44.35546,0.0,-18.147,136.164,2.72,0,0.5122267383177268,22050
,3.04,0.0,0.999999204337,0.0,0.0,201.09016,0.0,-2.869,102.259,3.0,1988,0.45694055844157816,22050
0.2707759989463275,0.0,0.232,0.9003018752624057,0.0,0.0,306.72934,0.0,-6.929,96.007,3.624,0,0.433945513830991,22050
,2.63,0.595,0.9378279047977913,0.002815721561509664,0.0,176.50893,0.0,-17.308,159.582,3.0,0,0.28356259598084455,22050
,0.12,0.236,0.9395723168610159,0.016465499422980864,0.0,185.7824,0.0,-13.251,88.489,0.249,0,0.5077816674051294,22050
0.0,6.777,0.629,0.9554253686316111,0.013278291522413308,0.0,163.49995,0.0,-25.694,79.731,3.588,0,0.2506012864465103,22050
,0.342,0.24,0.9999947909186364,0.0,0.0,94.06649,0.0,-9.506,109.636,4.675000000000001,0,0.4095505953637158,22050
0.4051157216913865,4.466,0.684,0.9460325703107214,0.0,0.0,256.80934,0.0,-7.307,201.802,2.688,2000,0.41144814277843267,22050
0.3231121208952123,0.0,0.0,1.0000010326031297,0.038525484035063826,0.0,106.52689,0.0,-12.385,97.76,3.328,2009,0.3448144687039853,22050
0.46264318259167037,1.49,0.704,0.9251841785509344,0.001917274172194433,0.0,155.95057,0.0,-14.123,109.065,0.04,2001,0.29153972708877773,22050
0.8737024949104306,5.32,0.0,0.9515968167793252,0.0,0.0,241.52771,0.0,-7.255,108.264,3.608,2003,0.5864333787181634,22050
0.0,1.908,0.647,0.9662480123807089,0.0014063827451090201,0.0,158.56281,0.0,-16.527,94.658,1.959,0,0.29265645350931985,22050
0.5473248320344863,2.821,0.196,0.9620898751615833,0.001099040957465675,0.0,340.29669,0.0,-11.356,91.328,3.536,1988,0.46682699252718746,22050
0.34580223396532944,1.6600000000000001,0.0,0.9492317994060359,0.0015952328641173396,0.0,234.44853,0.0,-10.173,102.055,0.0,2005,0.3742711738564048,22050
0.5375039041917102,6.93,0.501,0.9702885442836181,0.010740708028008234,0.0,224.28689,0.0,-4.779,241.877,3.788,2002,0.41323788392454475,22050
0.4943573242520118,7.2,0.702,0.9675940922995651,0.014638337251128062,0.0,216.55465,0.0,-8.147,130.062,1.124,0,0.3941275766079933,22050
,4.59,0.456,0.9709648723968268,0.0014196230794913535,0.0,226.82077,0.0,-7.684,119.524,3.764,0,0.31669216154699004,22050
0.3603705827121406,9.955,0.0,0.9520511248381219,0.007194981491456273,0.0,279.2224,0.0,-6.582,68.734,0.0,1998,0.4667756219262354,22050
0.0,4.446,0.548,0.9679094594437201,0.0,0.0,233.53424,0.0,-5.483,184.981,1.28,0,0.24424364253565956,22050
,0.682,0.0,0.9732481767758573,0.0,0.0,321.35791,0.0,-6.2,193.693,2.468,1994,0.5725833363950456,22050
,0.0,0.528,0.9400707590570415,0.0016253646604122585,0.0,263.94077,0.0,-19.821,76.693,2.096,0,0.36150980217715184,22050
0.40565219615969267,7.9639999999999995,0.583,0.9827274663930403,0.0030605781029328797,0.0,124.15955,0.0,-4.793,133.729,0.046,1998,0.37668863102209926,22050
,7.699999999999999,0.0,0.9695809605515576,0.0,0.0,349.12608,0.0,-11.708,138.003,0.0,0,0.0,22050
0.4454545254934259,2.776,0.0,0.9746511486198282,0.0007825932152155238,0.0,167.3922,0.0,-17.623,139.136,2.52,0,0.39945172400502926,22050
,4.032,0.0,0.9470200431624776,0.0,0.0,168.56771,0.0,-16.968,130.284,2.824,1999,0.5984585009824434,22050
,4.32,0.304,0.9511122185516608,0.0,0.0,341.36771,0.0,-9.632,126.95,2.3,0,0.22005076466880738,22050
,3.588,0.532,0.9537126138946027,0.0,0.0,333.13914,0.0,-5.671,144.812,0.091,0,0.32785892465345917,22050
0.2740735781033903,0.49,0.648,0.9436227234598727,0.0,0.0,165.98159,0.0,-15.915,86.162,4.0,0,0.2586712675344854,22050
,0.38,0.0,0.9146997052427969,0.08429620752919671,0.0,150.25587,0.0,-15.574,137.673,2.905,0,0.40946490922770284,22050
,2.0,0.867,0.9244104274076402,0.0012420260084588918,0.0,230.26893,0.0,-32.017,0.0,0.0,0,0.2918834217879059,22050
,0.0,0.0,0.9579187109056403,0.0,0.0,176.27383,0.0,-13.366,49.262,0.0,0,0.3136658169944595,22050
,0.0,0.134,0.97347695144176,0.0014333602646496304,0.0,159.76444,0.0,-9.79,68.283,2.768,1960,0.379137555624937,22050
0.319565986882865,2.7720000000000002,0.0,0.9546395145233985,0.0007822487336941203,0.0,368.16934,0.0,-8.489,93.106,0.0,1995,0.29837272098690754,22050
0.3522322250053423,2.27,0.407,0.944347881257119,0.0,0.0,247.77098,0.0,-8.901,85.157,0.0,0,0.6046551281353578,22050
0.582918458497712,0.533,0.598,0.9846413517624167,0.0008784249552754981,0.0,465.60608,0.0,-5.533,134.014,0.436,0,0.4497463102603577,22050
,0.0,0.0,0.9627693461220023,0.0012602468435798314,0.0,185.67791,0.0,-16.844,101.41,0.0,0,0.28228640563265106,22050
,0.0,0.324,0.9639626716652829,0.0,0.0,284.70812,0.0,-8.339,98.859,1.304,0,0.32246815446359933,22050
